iid,name,knowledge
26832045,"01.K6.2.2.1 - Nhận biết được phép chia có dư, định lí về phép chia có dư",
26835059,01.K6.2.3.1 - Vận dụng được tính chất giao hoán và kết hợp của phép cộng số tự nhiên,
26868885,01.K6.2.3.2 - Vận dụng được tính chất giao hoán và kết hợp của phép nhân số tự nhiên,
26868887,01.K6.2.3.3 - Vận dụng được tính chất phân phối của phép nhân đối với phép cộng số tự nhiên và quy tắc dấu ngoặc trong tính toán.,
26868929,01.K6.2.4.1 - Thực hiện được phép tính nâng lên luỹ thừa với số mũ tự nhiên,
26868931,01.K6.2.4.2 - Thực hiện được phép nhân hai luỹ thừa cùng cơ số với số mũ tự nhiên,
26868933,01.K6.2.4.3 - Thực hiện được phép chia hai luỹ thừa cùng cơ số với số mũ tự nhiên,
26868988,01.K6.2.5.1 - Thực hiện được các phép tính theo thứ tự.,
26868990,"01.K6.2.6.1 - Vận dụng được các tính chất của phép tính (kể cả phép tính luỹ thừa với số mũ tự nhiên) để tính nhẩm, tính nhanh một cách hợp lí",
26868992,01.K6.2.7.1 - Giải quyết được những vấn đề thực tiễn gắn với phép tính cộng và trừ hai số tự nhiên,
26868994,01.K6.2.7.2 - Giải quyết được những vấn đề thực tiễn gắn với phép tính nhân và chia hai số tự nhiên,
26868996,01.K6.2.7.3 - Giải quyết được những vấn đề thực tiễn gắn với phép tính lũy thừa,
26868998,"01.K6.2.7.4 - Giải quyết được những vấn đề thực tiễn gắn với thực hiện các phép tính (ví dụ: tính tiền mua sắm, tính lượng hàng mua được từ số tiền đã có,...)",
26874923,01.K6.3.1.1 - Nhận biết được quan hệ chia hết,
26874925,01.K6.3.1.2 - Tìm được các ước của một số tự nhiên,
26874927,01.K6.3.1.3 - Tìm được các bội của một số tự nhiên,
26874929,01.K6.3.1.4 - Xác định được tính chia hết của một tổng/hiệu cho một số,
26874933,01.K6.3.2.1 - Vận dụng được dấu hiệu chia hết cho 2 để xác định tính chia hết của 1 số,
26874935,01.K6.3.2.2 - Vận dụng được dấu hiệu chia hết cho 5 để xác định tính chia hết của 1 số,
26874937,01.K6.3.2.3 - Vận dụng được dấu hiệu chia hết cho 3 để xác định tính chia hết của 1 số,
26874939,01.K6.3.2.4 - Vận dụng được dấu hiệu chia hết cho 9 để xác định tính chia hết của 1 số,
26874943,"01.K6.3.3.1 - Nhận biết được khái niệm số nguyên tố, hợp số",
26874945,01.K6.3.3.2 - Xác định ước nguyên tố của một số,
26874949,01.K6.3.4.1 - Thực hiện được việc phân tích một số tự nhiên lớn hơn 1 thành tích của các thừa số nguyên tố trong những trường hợp đơn giản,
26874953,01.K6.3.5.1 - Xác định được ước chung của hai hoặc ba số tự nhiên đã cho,
26874955,01.K6.3.5.2 - Xác định được ước chung lớn nhất của hai hoặc ba số tự nhiên đã cho,
26874957,01.K6.3.5.3 - Nhận biết được phân số tối giản và rút gọn được một phân số về thành phân số tối giản,
26874959,01.K6.3.5.4 - Xác định được bội chung của hai hoặc ba số tự nhiên đã cho,
26874961,01.K6.3.5.5 - Xác định được bội chung nhỏ nhất của hai hoặc ba số tự nhiên đã cho,
26874963,"01.K6.3.5.6 - Sử dụng được bội chung nhỏ nhất để quy đồng mẫu các phân số và cộng, trừ phân số",
26874967,"01.K6.3.6.1 - Vận dụng được kiến thức về ước chung, ước chung lớn nhất giải quyết những vấn đề thực tiễn",
26874969,"01.K6.3.6.2 - Vận dụng được kiến thức về bội chung, bội chung nhỏ nhất vào giải quyết những vấn đề thực tiễn",
26875248,02.K6.1.3.1 - Nhận biết được số đối của một số nguyên,
26875252,02.K6.1.4.1 - Nhận biết được thứ tự trong tập hợp các số nguyên. So sánh được hai số nguyên cho trước,
26875256,02.K6.1.5.1 - Nhận biết được ý nghĩa của số nguyên âm trong một số bài toán thực tiễn,
26875263,02.K6.2.1.1 - Thực hiện được phép cộng hai số nguyên,
26875265,02.K6.2.1.2 - Thực hiện được phép trừ hai số nguyên,
26875267,02.K6.2.1.3 - Thực hiện được phép nhân hai số nguyên,
26875269,02.K6.2.1.4 - Thực hiện được phép chia hết đối với số nguyên,
26875273,02.K6.2.2.1 - Vận dụng được tính chất giao hoán và kết hợp của phép cộng số nguyên,
26875275,02.K6.2.2.2 - Vận dụng được tính chất giao hoán và kết hợp của phép nhân số nguyên,
26875277,02.K6.2.2.3 - Vận dụng được tính chất phân phối của phép nhân đối với phép cộng số nguyên và quy tắc dấu ngoặc trong tính toán.,
26875281,02.K6.2.3.1 - Nhận biết được quan hệ chia hết trong tập số nguyên,
26875283,"02.K6.2.3.2 - Nhận biết, tìm được ước và bội của một số nguyên",
26875285,02.K6.2.3.3 - Giải quyết được những vấn đề thực tiễn liên quan đến phép chia hai số nguyên,
26875289,02.K6.2.4.1 - Giải quyết được những vấn đề thực tiễn liên quan đến phép cộng hai số nguyên,
26875291,02.K6.2.4.2 - Giải quyết được những vấn đề thực tiễn liên quan đến phép trừ hai số nguyên,
26934773,"24.K6.1.1.1 - Nhận dạng được tam giác đều và mô tả được một số yếu tố cơ bản (cạnh, góc) của tam giác đều (ví dụ: ba cạnh bằng nhau, ba góc bằng nhau)",
26934775,"24.K6.1.1.2 - Nhận dạng được hình vuông và mô tả được một số yếu tố cơ bản (cạnh, góc, đường chéo) của hình vuông (ví dụ: bốn cạnh bằng nhau, mỗi góc là góc vuông, hai đường chéo bằng nhau)",
26934777,"24.K6.1.1.3 - Nhận dạng được lục giác đều và mô tả được một số yếu tố cơ bản (cạnh, góc, đường chéo) của hình lục giác đều (ví dụ: sáu cạnh bằng nhau, sáu góc bằng nhau, ba đường chéo chính bằng nhau)",
26934779,"24.K6.1.2.1 - Mô tả được cách vẽ tam giác đều, hình vuông bằng dụng cụ học tập.",
26934781,24.K6.1.2.2 - Tạo lập được lục giác đều thông qua việc lắp ghép các tam giác đều,
26935173,"24.K6.2.1.1 - Nhận dạng được hình chữ nhật và mô tả được một số yếu tố cơ bản (cạnh, góc, đường chéo) của hình chữ nhật",
26935175,"24.K6.2.1.2 - Nhận dạng được hình thoi và mô tả được một số yếu tố cơ bản (cạnh, góc, đường chéo) của hình thoi",
26935177,"24.K6.2.1.3 - Nhận dạng được hình bình hành và mô tả được một số yếu tố cơ bản (cạnh, góc, đường chéo) của hình bình hành",
26935179,"24.K6.2.1.4 - Nhận dạng được hình thang cân và mô tả được một số yếu tố cơ bản (cạnh, góc, đường chéo) của hình thang cân",
26935181,"24.K6.2.1.5 - Mô tả được cách vẽ hình chữ nhật, hình thoi, hình bình hành bằng các dụng cụ học tập.",
26935762,24.K6.3.1.1 - Xác định được những hình phẳng có trục đối xứng,
26935764,24.K6.3.1.2 - Xác định được trục đối xứng của hình phẳng,
26935766,24.K6.3.2.1 - Nhận biết được những hình phẳng trong tự nhiên có trục đối xứng (khi quan sát trên hình ảnh 2 chiều),
26935768,24.K6.4.1.1 - Xác định được những hình phẳng có tâm đối xứng,
26935770,24.K6.4.1.2 - Xác định được tâm đối xứng của hình phẳng,
26935772,24.K6.4.2.1 - Nhận biết được những hình phẳng trong thế giới tự nhiên có tâm đối xứng (khi quan sát trên hình ảnh 2 chiều).,
26938103,"25.K6.1.1.1 - Nhận biết được những quan hệ cơ bản giữa điểm, đường thẳng: điểm thuộc đường thẳng, điểm không thuộc đường thẳng",
26938105,25.K6.1.1.2 - Nhận biết được tiên đề về đường thẳng đi qua hai điểm phân biệt,
26938107,"25.K6.1.2.1 - Nhận biết được khái niệm hai đường thẳng cắt nhau, song song, trùng nhau",
26938109,"25.K6.1.3.1 - Nhận biết được khái niệm ba điểm thẳng hàng, ba điểm không thẳng hàng",
26938111,25.K6.1.3.2 - Giải quyết được các bài toán thực tiễn về điểm và đường thẳng,
26938113,25.K6.1.4.1 - Nhận biết được khái niệm điểm nằm giữa hai điểm,
26938115,25.K6.1.4.2 - Giải quyết được các bài toán thực tiễn về điểm nằm giữa hai điểm,
26938118,25.K6.1.5.1 - Nhận biết được khái niệm tia,
26938120,"25.K6.1.5.2 - Nhận biết được hai tia đối nhau, hai tia trùng nhau",
26940179,25.K6.2.1.1 - Nhận biết được khái niệm đoạn thẳng,
26940181,25.K6.2.1.2 - Xác định được độ dài đoạn thẳng,
26940183,25.K6.2.1.3 - So sánh được độ dài đoạn thẳng,
26940185,25.K6.2.1.4 - Giải quyết được các bài toán thực tế có liên quan đến đoạn thẳng và độ dài của đoạn thẳng,
26940187,25.K6.2.1.5 - Nhận biết được trung điểm của đoạn thẳng,
26940189,25.K6.2.1.6 - Tính được độ dài đoạn thẳng dựa vào tính chất trung điểm của đoạn thẳng,
26940191,25.K6.2.1.7 - Giải quyết được các bài toán thực tiễn về trung điểm của đoạn thẳng,
26940340,"26.K6.1.1.1 - Nhận biết được khái niệm góc, đỉnh và cạnh của góc",
26940342,26.K6.1.1.2 - Nhận biết điểm trong của góc (không đề cập đến góc lõm),
26940344,"26.K6.1.2.1 - Nhận biết được các góc đặc biệt (góc vuông, góc nhọn, góc tù, góc bẹt)",
26940346,26.K6.1.3.1 - Nhận biết được khái niệm số đo góc,
26940348,26.K6.1.3.2 - Xác định được số đo góc,
26940350,26.K6.1.3.3 - So sánh được số đo góc,
26940352,"26.K6.1.3.4 - Giải quyết được các bài toán thực tiễn về góc, số đo góc",
26940435,"49.K6.1.1.1 - Thực hiện được việc thu thập, phân loại dữ liệu theo các tiêu chí cho trước từ những nguồn: bảng biểu, kiến thức trong các môn học khác",
26940437,49.K6.1.2.1 - Nhận biết được tính hợp lí của dữ liệu theo các tiêu chí đơn giản,
26940439,49.K6.2.1.1 - Đọc và mô tả thành thạo các dữ liệu ở dạng bảng thống kê,
26940441,49.K6.2.1.2 - Đọc và mô tả thành thạo các dữ liệu ở dạng biểu đồ tranh,
26940443,49.K6.2.1.3 - Đọc và mô tả thành thạo các dữ liệu ở dạng biểu đồ dạng cột.,
26940445,49.K6.2.1.4 - Đọc và mô tả thành thạo các dữ liệu ở dạng biểu đồ dạng cột kép.,
26940447,49.K6.2.2.1 - Lựa chọn và biểu diễn được dữ liệu vào bảng thống kê.,
26940449,49.K6.2.2.2 - Lựa chọn và biểu diễn được dữ liệu vào biểu đồ tranh.,
26940451,49.K6.2.2.3 - Lựa chọn và biểu diễn được dữ liệu vào biểu đồ dạng cột.,
26940454,49.K6.2.2.4 - Lựa chọn và biểu diễn được dữ liệu vào biểu đồ dạng cột kép.,
26940456,"49.K6.3.1.1 - - Nhận ra vấn đề hoặc quy luận đơn giản từ việc phân tích bảng thống kê
 - Giải quyết được những vấn đề đơn giản liên quan đến các số liệu thu được ở bảng thống kê",
26940458,"49.K6.3.1.2 - - Nhận ra vấn đề hoặc quy luận đơn giản từ việc phân tích biểu đồ tranh
 - Giải quyết được những vấn đề đơn giản liên quan đến các số liệu thu được ở dạng biểu đồ tranh",
26940460,"49.K6.3.1.3 - – Nhận ra vấn đề hoặc quy luật đơn giản từ việc phân tích biểu đồ cột
 – Giải quyết được những vấn đề đơn giản liên quan đến các số liệu thu được ở dạng biểu đồ cột",
26940462,"49.K6.3.1.4 - – Nhận ra vấn đề hoặc quy luật đơn giản từ việc phân tích biểu đồ cột kép
 – Giải quyết được những vấn đề đơn giản liên quan đến các số liệu thu được ở dạng biểu đồ cột kép",
26940464,"49.K6.3.2.1 - – Nhận biết được mối liên hệ giữa thống kê với những kiến thức trong các môn học trong Chương trình lớp 6 và trong thực tiễn (ví dụ: khí hậu, giá cả thị trường,...).",
26940466,"50.K6.1.1.1 - Liệt kê được các kết quả có thể xảy ra trong các trò chơi, thí nghiệm đơn giản",
26940468,"50.K6.1.1.2 - Nhận biết một sự kiện trong trò chơi, thí nghiệm có xảy ra hay không",
26940470,50.K6.2.1.1 - Làm quen với việc mô tả xác suất (thực nghiệm) của khả năng xảy ra nhiều lần của một sự kiện trong một số mô hình xác suất đơn giản.,
26940472,50.K6.2.2.1 - Sử dụng được phân số để mô tả xác suất (thực nghiệm) của khả năng xảy ra nhiều lần thông qua kiểm đếm số lần lặp lại của khả năng đó trong một số mô hình xác suất đơn giản.,
27725949,02.K6.2.4.3 - Giải quyết được những vấn đề thực tiễn liên quan đến phép nhân hai số nguyên,
27725951,02.K6.2.4.4 - Giải quyết được những vấn đề thực tiễn liên quan đến phép chia hai số nguyên,
27728577,03.K6.2.4.4 - Giải quyết được một số vấn đề thực tiễn gắn với các phép tính chia phân số,
27728579,03.K6.2.4.5 - Giải quyết được một số vấn đề thực tiễn gắn với hai bài toán về phân số,
27728591,04.K6.1.5.3 - Giải quyết được một số bài toán thực tiễn gắn với các phép tính nhân số thập phân,
27728593,04.K6.1.5.4 - Giải quyết được một số bài toán thực tiễn gắn với các phép tính chia số thập phân,
27728683,24.K6.2.2.1a - Tính được chu vi của hình vuông,
27728685,24.K6.2.2.1b - Tính được diện tích của hình vuông,
27728687,24.K6.2.2.1c - Tính được chu vi của hình chữ nhật,
27728689,24.K6.2.2.1d - Tính được diện tích của hình chữ nhật,
27728691,24.K6.2.2.1e - Tính được chu vi của hình thang cân,
27728693,24.K6.2.2.1f - Tính được diện tích của hình thang cân,
27728695,24.K6.2.2.2a - Giải quyết được một số vấn đề thực tiễn gắn với việc tính chu vi của hình vuông,
27728697,24.K6.2.2.2b - Giải quyết được một số vấn đề thực tiễn gắn với việc tính diện tích của hình vuông,
27728699,24.K6.2.2.2c - Giải quyết được một số vấn đề thực tiễn gắn với việc tính chu vi của hình chữ nhật,
27728701,24.K6.2.2.2d - Giải quyết được một số vấn đề thực tiễn gắn với việc tính diện tích của hình chữ nhật,
27728703,24.K6.2.2.2e - Giải quyết được một số vấn đề thực tiễn gắn với việc tính chu vi của các hình thang cân,
27728705,24.K6.2.2.2f - Giải quyết được một số vấn đề thực tiễn gắn với việc tính diện tích của các hình thang cân,
27728707,24.K6.2.2.3a - Tính được chu vi của hình bình hành,
27728709,24.K6.2.2.3b - Tính được diện tích của hình bình hành,
27728711,24.K6.2.2.4a - Giải quyết được một số vấn đề thực tiễn gắn với việc tính chu vi của hình bình hành,
27728713,24.K6.2.2.4b - Giải quyết được một số vấn đề thực tiễn gắn với việc tính diện tích của hình bình hành,
27728715,24.K6.2.2.5a - Tính được chu vi của hình thoi,
27728718,24.K6.2.2.5b - Tính được diện tích của hình thoi,
27728720,24.K6.2.2.6a - Giải quyết được một số vấn đề thực tiễn gắn với việc tính chu vi của hình thoi,
27728722,24.K6.2.2.6b - Giải quyết được một số vấn đề thực tiễn gắn với việc tính diện tích của hình thoi,
27728799,25.K6.1.5.3 - Giải quyết được các bài toán thực tiễn về tia,
27774285,"T10 - Giải thích được các công thức tính diện tích tam giác và áp dụng để tính diện tích tam giác, tìm một số yếu tố chưa biết trong tam giác",
27774287,"T10 - Mô tả được cách giải tam giác và vận dụng được vào việc giải một số bài toán có nội dung thực tiễn (ví dụ: xác định khoảng cách giữa hai địa điểm khi gặp vật cản, xác định chiều cao của vật khi không thể đo trực tiếp,...).",
27774289,"T10 - Nhận biết được khái niệm vectơ, độ dài của vectơ",
27774291,"T10 - Nhận biết được hai vectơ cùng phương, cùng hướng, bằng nhau, vectơ không",
27774293,T10 - Biểu thị được một số đại lượng trong thực tiễn bằng vectơ.,
27774295,T10 - Thực hiện được phép toán tổng của hai vectơ,
27774297,T10 - Thực hiện được phép toán hiệu của hai vectơ,
27774299,"T10 - Mô tả được những tính chất hình học (ba điểm thẳng hàng, trung điểm của đoạn thẳng, trọng tâm của tam giác,...) bằng vectơ.",
27774301,T10 - Thực hiện được  phép toán lấy tích vô hướng của hai vectơ,
27774303,"T10 - Sử dụng được vectơ và các phép toán trên vectơ để giải thích một số hiện tượng có liên quan đến Vật lí và Hoá học (ví dụ: những vấn đề liên quan đến lực, đến chuyển động,...).",
27774305,"T10 - Vận dụng được kiến thức về vectơ để giải một số bài toán hình học và một số bài toán liên quan đến thực tiễn (ví dụ: xác định lực tác dụng lên vật,...).",
27774307,T10 - Nhận biết được toạ độ của vectơ đối với một hệ trục toạ độ.,
27774309,"T10 - Tìm được toạ độ của một vectơ, độ dài của một vectơ khi biết toạ độ hai đầu mút của nó.",
27774311,T10 - Sử dụng được biểu thức toạ độ của các phép toán vectơ trong tính toán.,
27774313,T10 - Vận dụng được phương pháp toạ độ vào bài toán giải tam giác.,
27774315,"T10 - Vận dụng được kiến thức về toạ độ của vectơ để giải một số bài toán liên quan đến thực tiễn (ví dụ: vị trí của vật trên mặt phẳng toạ độ,...).",
27774317,T10 - Mô tả được phương trình tổng quát của đường thẳng trong mặt phẳng tọa độ,
27774319,T10 - Mô tả được phương trình tham số của đường thẳng trong mặt phẳng tọa độ,
27774321,T10 - Thiết lập được phương trình của đường thẳng trong mặt phẳng khi biết: một điểm và một vectơ pháp tuyến.,
27774323,T10 - Thiết lập được phương trình của đường thẳng trong mặt phẳng khi biết: một điểm và một vectơ chỉ phương.,
27774325,T10 - Thiết lập được phương trình của đường thẳng trong mặt phẳng khi biết hai điểm.,
27774327,"T10 - Nhận biết được hai đường thẳng cắt nhau, song song, trùng nhau với nhau bằng phương pháp toạ độ.",
27774329,T10 - Thiết lập được công thức tính góc giữa hai đường thẳng.,
27774331,T10 - Tính được khoảng cách từ một điểm đến một đường thẳng bằng phương pháp toạ độ.,
27774333,T10 - Giải thích được mối liên hệ giữa đồ thị hàm số bậc nhất và đường thẳng trong mặt phẳng toạ độ.,
27774335,T10 - Vận dụng được kiến thức về phương trình đường thẳng để giải một số bài toán có liên quan đến thực tiễn.,
27774337,T10 - Nhận biết được phương trình đường tròn,
27774339,T10 - Xác định được tâm và bán kính đường tròn khi biết phương trình của đường tròn.,
27774341,T10 - Thiết lập được phương trình đường tròn khi biết toạ độ tâm và bán kính.,
27774343,T10 - Xác định được vị trí tương đối của đường thẳng và đường tròn,
27774345,"T10 - Vận dụng được kiến thức về phương trình đường tròn để giải một số bài toán liên quan đến thực tiễn (ví dụ: bài toán về chuyển động tròn trong Vật lí,...).",
27774347,T10 - Nhận biết được elip bằng khái niệm và hình học.,
27774349,T10 - Nhận biết được hyperbol bằng khái niệm và hình học.,
27774351,T10 - Nhận biết được parabol bằng khái niệm và hình học.,
27774353,T10 - Nhận biết được phương trình chính tắc của elip trong mặt phẳng toạ độ.,
27774355,T10 - Nhận biết được phương trình chính tắc của hyperbol trong mặt phẳng toạ độ.,
27774357,T10 - Nhận biết được phương trình chính tắc của parabol trong mặt phẳng toạ độ.,
27774359,T10 - Giải quyết được một số vấn đề thực tiễn gắn với elip.,
27774361,T10 - Giải quyết được một số vấn đề thực tiễn gắn với hyperbol.,
27774363,T10 - Giải quyết được một số vấn đề thực tiễn gắn với parabol.,
27774365,T10 - Nhận biết được khái niệm số gần đúng,
27774367,T10 - Nhận biết được khái niệm sai số tuyệt đối của số gần đúng,
27774369,T10 - Xác định được số gần đúng của một số với độ chính xác cho trước.,
27774371,T10 - Xác định được sai số tương đối của số gần đúng.,
27774373,T10 - Xác định được số quy tròn của số gần đúng với độ chính xác cho trước.,
27774375,T10 - Phát hiện và lí giải được số liệu không chính xác dựa trên mối liên hệ toán học đơn giản giữa các số liệu đã được biểu diễn trong nhiều ví dụ.,
27774377,T10 - Tính được số đặc trưng đo xu thế trung tâm cho mẫu số liệu không ghép nhóm: số trung bình cộng (hay số trung bình).,
27774379,T10 - Tính được số đặc trưng đo xu thế trung tâm cho mẫu số liệu không ghép nhóm: trung vị (median).,
27774381,T10 - Tính được số đặc trưng đo xu thế trung tâm cho mẫu số liệu không ghép nhóm: tứ phân vị (quartiles).,
27774383,T10 - Tính được số đặc trưng đo xu thế trung tâm cho mẫu số liệu không ghép nhóm: mốt (mode).,
27774385,T10 - Giải thích được ý nghĩa và chỉ ra được những kết luận nhờ ý nghĩa của các số đặc trưng của mẫu số liệu trong thực tiễn: số trung bình,
27774387,T10 - Giải thích được ý nghĩa và chỉ ra được những kết luận nhờ ý nghĩa của các số đặc trưng của mẫu số liệu trong thực tiễn: số trung vị,
27774389,T10 - Giải thích được ý nghĩa và chỉ ra được những kết luận nhờ ý nghĩa của các số đặc trưng của mẫu số liệu trong thực tiễn: tứ phân vị,
27774391,T10 - Giải thích được ý nghĩa và chỉ ra được những kết luận nhờ ý nghĩa của các số đặc trưng của mẫu số liệu trong thực tiễn: mốt,
27774393,T10 - Tính được số đặc trưng đo mức độ phân tán cho mẫu số liệu không ghép nhóm: khoảng biến thiên,
27774395,T10 - Tính được số đặc trưng đo mức độ phân tán cho mẫu số liệu không ghép nhóm: khoảng tứ phân vị,
27774397,T10 - Tính được số đặc trưng đo mức độ phân tán cho mẫu số liệu không ghép nhóm:phương sai.,
27774399,T10 - Tính được số đặc trưng đo mức độ phân tán cho mẫu số liệu không ghép nhóm: độ lệch chuẩn.,
27774401,T10 - Giải thích được ý nghĩa và chỉ ra được những kết luận nhờ ý nghĩa của số đặc trưng của mẫu số liệu trong thực tiễn: khoảng biến thiên,
27774403,T10 - Giải thích được ý nghĩa và chỉ ra được những kết luận nhờ ý nghĩa của số đặc trưng của mẫu số liệu trong thực tiễn: khoảng tứ phân vị,
27774405,T10 - Giải thích được ý nghĩa và chỉ ra được những kết luận nhờ ý nghĩa của số đặc trưng của mẫu số liệu trong thực tiễn: phương sai,
27774407,T10 - Giải thích được ý nghĩa và chỉ ra được những kết luận nhờ ý nghĩa của số đặc trưng của mẫu số liệu trong thực tiễn: độ lệch chuẩn,
27774409,T10 - Nhận biết được mối liên hệ giữa thống kê với những kiến thức của các môn học trong Chương trình lớp 10 và trong thực tiễn.,
27774411,T10 - Nhận biết được một số khái niệm về xác suất cổ điển: phép thử ngẫu nhiên; không gian mẫu; biến cố (biến cố là tập con của không gian mẫu),
27774413,T10 - Nhận biết được một số khái niệm về xác suất cổ điển: biến cố đối,
27774415,T10 - Nhận biết được một số khái niệm về xác suất cổ điển: định nghĩa cổ điển của xác suất,
27774417,T10 - Nhận biết được một số khái niệm về xác suất cổ điển: nguyên lí xác suất bé,
27774419,"T10 - Mô tả được không gian mẫu, biến cố trong một số thí nghiệm đơn giản (ví dụ: tung đồng xu hai lần, tung đồng xu ba lần, tung xúc xắc hai lần).",
27774421,T10 - Tính được xác suất của biến cố trong một số bài toán đơn giản bằng phương pháp tổ hợp (trường hợp xác suất phân bố đều).,
27774423,"T10 - Tính được xác suất trong một số thí nghiệm lặp bằng cách sử dụng sơ đồ hình cây (ví dụ: tung xúc xắc hai lần, tính xác suất để tổng số chấm xuất hiện trong hai lần tung bằng 7).",
27774425,T10 - Mô tả được các tính chất cơ bản của xác suất.,
27774427,T10 - Tính được xác suất của biến cố đối.,
